iata_code,name,municipality
ABE,Lehigh Valley International Airport,Allentown
ABQ,Albuquerque International Sunport,Albuquerque
ACK,Nantucket Memorial Airport,Nantucket
ACV,California Redwood Coast-Humboldt County Airport,Arcata/Eureka
ACY,Atlantic City International Airport,Atlantic City
AEX,Alexandria International Airport,Alexandria
AGS,Augusta Regional At Bush Field,Augusta
ALB,Albany International Airport,Albany
AMA,Rick Husband Amarillo International Airport,Amarillo
ASE,Aspen-Pitkin Co/Sardy Field,Aspen
ATL,Hartsfield Jackson Atlanta International Airport,Atlanta
ATW,Appleton International Airport,Appleton
ATY,Watertown Regional Airport,Watertown
AUS,Austin Bergstrom International Airport,Austin
AVL,Asheville Regional Airport,Asheville
AVP,Wilkes Barre Scranton International Airport,Wilkes-Barre/Scranton
BDL,Bradley International Airport,Hartford
BFD,Bradford Regional Airport,Bradford
BFL,Meadows Field,Bakersfield
BGR,Bangor International Airport,Bangor
BHM,Birmingham-Shuttlesworth International Airport,Birmingham
BIL,Billings Logan International Airport,Billings
BIS,Bismarck Municipal Airport,Bismarck
BJC,Rocky Mountain Metropolitan Airport,Denver
BMI,Central Illinois Regional Airport at Bloomington-Normal,Bloomington/Normal
BNA,Nashville International Airport,Nashville
BOI,Boise Air Terminal/Gowen Field,Boise
BOS,General Edward Lawrence Logan International Airport,Boston
BTR,Baton Rouge Metropolitan Airport,Baton Rouge
BTV,Burlington International Airport,Burlington
BUF,Buffalo Niagara International Airport,Buffalo
BUR,Bob Hope Airport,Burbank
BWI,Baltimore/Washington International Thurgood Marshall Airport,Baltimore
BZN,Gallatin Field,Bozeman
CAE,Columbia Metropolitan Airport,Columbia
CEZ,Cortez Municipal Airport,Cortez
CHA,Lovell Field,Chattanooga
CHO,Charlottesville Albemarle Airport,Charlottesville
CHS,Charleston Air Force Base-International Airport,Charleston
CID,The Eastern Iowa Airport,Cedar Rapids
CKB,North Central West Virginia Airport,Clarksburg
CLE,Cleveland Hopkins International Airport,Cleveland
CLT,Charlotte Douglas International Airport,Charlotte
CMH,John Glenn Columbus International Airport,Columbus
CMI,University of Illinois Willard Airport,Champaign/Urbana
CNM,Cavern City Air Terminal,Carlsbad
CNY,Canyonlands Field,Moab
COS,City of Colorado Springs Municipal Airport,Colorado Springs
COU,Columbia Regional Airport,Columbia
CRW,Yeager Airport,Charleston
CSG,Columbus Metropolitan Airport,Columbus
CVG,Cincinnati Northern Kentucky International Airport,Cincinnati
CVN,Clovis Municipal Airport,Clovis
DAB,Daytona Beach International Airport,Daytona Beach
DAL,Dallas Love Field,Dallas
DAY,James M Cox Dayton International Airport,Dayton
DCA,Ronald Reagan Washington National Airport,Washington
DEN,Denver International Airport,Denver
DFW,Dallas Fort Worth International Airport,Dallas-Fort Worth
DSM,Des Moines International Airport,Des Moines
DSI,Destin Executive Airport,Destin
DTW,Detroit Metropolitan Wayne County Airport,Detroit
DUJ,DuBois Regional Airport,Dubois
ECP,Northwest Florida Beaches International Airport,Panama City Beach
ELD,South Arkansas Regional At Goodwin Field,El Dorado
ELP,El Paso International Airport,El Paso
ESC,Delta County Airport,Escanaba
EUG,Mahlon Sweet Field,Eugene
EVV,Evansville Regional Airport,Evansville
EWR,Newark Liberty International Airport,Newark
EYW,Key West International Airport,Key West
FAR,Hector International Airport,Fargo
FAT,Fresno Yosemite International Airport,Fresno
FAY,Fayetteville Regional Grannis Field,Fayetteville
FLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale
FNT,Bishop International Airport,Flint
FSD,Joe Foss Field Airport,Sioux Falls
FWA,Fort Wayne International Airport,Fort Wayne
GEG,Spokane International Airport,Spokane
GLH,Mid Delta Regional Airport,Greenville
GNV,Gainesville Regional Airport,Gainesville
FCA,Glacier Park International Airport,Kalispell
GPT,Gulfport Biloxi International Airport,Gulfport
GRB,Austin Straubel International Airport,Green Bay
GRR,Gerald R. Ford International Airport,Grand Rapids
GSO,Piedmont Triad International Airport,Greensboro
GSP,Greenville Spartanburg International Airport,Greenville
GTF,Great Falls International Airport,Great Falls
HLN,Helena Regional Airport,Helena
HOB,Lea County Regional Airport,Hobbs
HOT,Memorial Field,Hot Springs
HPN,Westchester County Airport,White Plains
HRO,Boone County Airport,Harrison
HSV,Huntsville International Carl T Jones Field,Huntsville
HHH,Hilton Head Airport,Hilton Head Island
HYA,Barnstable Municipal Boardman Polando Field,Hyannis
HYS,Hays Regional Airport,Hays
IAD,Washington Dulles International Airport,Washington
IAH,George Bush Intercontinental Houston Airport,Houston
ICT,Wichita Eisenhower National Airport,Wichita
IDA,Idaho Falls Regional Airport,Idaho Falls
ILM,Wilmington International Airport,Wilmington
IMT,Ford Airport,Iron Mountain / Kingsford
IND,Indianapolis International Airport,Indianapolis
IPL,Imperial County Airport,Imperial
ITH,Ithaca Tompkins Regional Airport,Ithaca
IWD,Gogebic Iron County Airport,Ironwood
JAC,Jackson Hole Airport,Jackson
JAN,Jackson-Medgar Wiley Evers International Airport,Jackson
JAX,Jacksonville International Airport,Jacksonville
JFK,John F Kennedy International Airport,New York
LAS,McCarran International Airport,Las Vegas
LAX,Los Angeles International Airport,Los Angeles
LBB,Lubbock Preston Smith International Airport,Lubbock
LEX,Blue Grass Airport,Lexington
LFT,Lafayette Regional Airport,Lafayette
LGA,La Guardia Airport,New York
LIT,Bill & Hillary Clinton National Airport/Adams Field,Little Rock
LNK,Lincoln Airport,Lincoln
LNS,Lancaster Airport,Lancaster
LWB,Greenbrier Valley Airport,Lewisburg
MAF,Midland International Airport,Midland
MBS,MBS International Airport,Saginaw
MCI,Kansas City International Airport,Kansas City
MCO,Orlando International Airport,Orlando
