iata_code,name,municipality
ATL,Hartsfield Jackson Atlanta International Airport,Atlanta
BOS,General Edward Lawrence Logan International Airport,Boston
CLT,Charlotte Douglas International Airport,Charlotte
DCA,Ronald Reagan Washington National Airport,Washington
DEN,Denver International Airport,Denver
DFW,Dallas Fort Worth International Airport,Dallas-Fort Worth
DTW,Detroit Metropolitan Wayne County Airport,Detroit
EWR,Newark Liberty International Airport,Newark
IAD,Washington Dulles International Airport,Washington
IAH,George Bush Intercontinental Houston Airport,Houston
JFK,John F Kennedy International Airport,New York
LAX,Los Angeles International Airport,Los Angeles
OAK,Metropolitan Oakland International Airport,Oakland
ORD,Chicago O'Hare International Airport,Chicago
ORF,Norfolk International Airport,Norfolk
PHL,Philadelphia International Airport,Philadelphia
PHX,Phoenix Sky Harbor International Airport,Phoenix
PIT,Pittsburgh International Airport,Pittsburgh
PSP,Palm Springs International Airport,Palm Springs
SEA,Seattle Tacoma International Airport,Seattle
SFO,San Francisco International Airport,San Francisco
