iata_code,name,municipality
ATL,Hartsfield Jackson Atlanta International Airport,Atlanta
BOS,General Edward Lawrence Logan International Airport,Boston
CLT,Charlotte Douglas International Airport,Charlotte
DAL,Dallas Love Field,Dallas
DEN,Denver International Airport,Denver
DFW,Dallas Fort Worth International Airport,Dallas-Fort Worth
DTW,Detroit Metropolitan Wayne County Airport,Detroit
EWR,Newark Liberty International Airport,Newark
IAD,Washington Dulles International Airport,Washington
JFK,John F Kennedy International Airport,New York
LAX,Los Angeles International Airport,Los Angeles
LGA,La Guardia Airport,New York
MIA,Miami International Airport,Miami
ORD,Chicago O'Hare International Airport,Chicago
SFO,San Francisco International Airport,San Francisco
