iata_code,name,municipality
ATL,Hartsfield Jackson Atlanta International Airport,Atlanta
BOS,General Edward Lawrence Logan International Airport,Boston
CLT,Charlotte Douglas International Airport,Charlotte
DFW,Dallas Fort Worth International Airport,Dallas-Fort Worth
DTW,Detroit Metropolitan Wayne County Airport,Detroit
EWR,Newark Liberty International Airport,Newark
IAD,Washington Dulles International Airport,Washington
LAX,Los Angeles International Airport,Los Angeles
MIA,Miami International Airport,Miami
OAK,Metropolitan Oakland International Airport,Oakland
ORD,Chicago O'Hare International Airport,Chicago
SFO,San Francisco International Airport,San Francisco
TTN,Trenton Mercer Airport,Trenton
