legId,isNonStop,totalFare,segmentsDepartureAirportCode,segmentsArrivalAirportCode,segmentsAirlineName,segmentsDepartureWeekday,segmentsDepartureTimeOfDay,segmentsArrivalWeekday,segmentsArrivalTimeOfDay,startingAirport,destinationAirport
e88409612ff96e7ef3fe0577f121292e,true,273.6,EWR,IAD,United,2,19:00,2,20:30,EWR,IAD
4508411c142227a9e044ab0fdab03be1,true,358.6,ATL,LGA,Delta,7,17:45,7,20:00,ATL,LGA
ec68faaa44f98670665fcf5a1c91c141,false,446.6,IAD||PWM,PWM||JFK,United||Delta,1||1,16:45||20:00,1||1,18:15||21:30,IAD,JFK
b84a8e0c1ad9541bc0a09a7dd35ed993,true,498.6,ONT,ATL,Delta,1,20:00,2,00:15,ONT,ATL
67123e98f4fa0bc67c9d7bebfae73ced,false,217.61,ATL||ORD,ORD||EWR,American Airlines||American Airlines,6||7,22:30||01:45,7||7,00:45||03:45,ATL,EWR
c9a2a812ee7b2260e7346c418865b609,false,92.6,BOS||LGA,LGA||CLT,Delta||Delta,6||6,16:00||20:30,6||6,17:30||23:00,BOS,CLT
edb9690cced9f4b7a5156b098c544f78,true,290.6,DTW,LGA,Delta,2,23:15,3,01:00,DTW,LGA
4650e9f60db9db075ee2a26bae719c93,true,69.6,LGA,BOS,JetBlue Airways,2,19:15,2,20:45,LGA,BOS
801de7c43e4e3138d6ae81d1ccc30ba1,true,218.6,LAX,DEN,Alaska Airlines,7,17:00,7,19:15,LAX,DEN
adb6dcbfe5471231a97330b0a7d5c8fa,false,823.1,OAK||SLC||CVG,SLC||CVG||LGA,Delta||Delta||Delta,7||7||7,13:00||17:00||22:00,7||7||1,14:45||20:30||00:00,OAK,LGA
2b95cc4adbea4b6db44275ba5384a8dd,false,312.6,DFW||HSV,HSV||CLT,American Airlines||American Airlines,5||5,15:45||20:45,5||5,17:30||22:15,DFW,CLT
1c7144be81b048e3ca84060e824ca826,false,123.6,MIA||DCA,DCA||LGA,American Airlines||American Airlines,6||6,14:15||18:00,6||6,16:45||19:15,MIA,LGA
8c57cd1153c02933c5098f753eb3dd8e,true,708.6,SFO,JFK,Delta,5,06:15,5,12:00,SFO,JFK
1017d8ba926b62255d69493b301f9d59,false,437.2,DTW||TPA,TPA||ATL,Delta||Delta,7||7,11:00||18:45,7||7,13:30||20:30,DTW,ATL
6598f41a9e160f7fde1d1a8b43bfd245,false,467.6,SFO||PHX,PHX||ORD,American Airlines||American Airlines,5||5,12:30||17:15,5||5,14:30||21:00,SFO,ORD
66f0da173cd5de097670bb8979591cdf,true,248.6,ATL,ORD,Delta,3,14:00,3,16:15,ATL,ORD
7aaa3e9e51d26df2bbd38de4d83e27cf,false,427.2,IAD||IAH,IAH||SFO,United||United,1||1,02:00||10:30,1||1,05:00||14:45,IAD,SFO
a22614180d2074ffa38a0eb0ddeebde5,false,163.58,LAX||FLL,FLL||DTW,Spirit Airlines||Spirit Airlines,5||6,23:00||11:45,6||6,04:00||14:45,LAX,DTW
7e4405002f8b7c886a8feed8f4f9470c,false,777.61,MIA||EYW,EYW||CLT,American Airlines||American Airlines,6||6,12:45||15:45,6||6,13:45||18:00,MIA,CLT
