legId,startingAirport,destinationAirport,isNonStop,totalFare,segmentsArrivalAirportCode,segmentsDepartureAirportCode,segmentsAirlineName,segmentsDepartureWeekday,segmentsDepartureTimeOfDay,segmentsArrivalWeekday,segmentsArrivalTimeOfDay
453ccf7c7b85e758dd2886fa378c9ba3,ATL,DFW,TRUE,202.6,DFW,ATL,Delta,6,15:30,6,17:45
e70564a4346fd3ac32645cb638caf410,MIA,JFK,TRUE,265.6,JFK,MIA,American Airlines,4,17:30,4,20:30
4180cc5fb0f088606ba717d7866e50e2,DTW,LAX,TRUE,318.6,LAX,DTW,Delta,1,14:00,1,19:00
c87df88d356b0783851c6ff0d8169492,BOS,SFO,TRUE,228.6,SFO,BOS,American Airlines,2,21:45,3,04:15
4c2873ee35373664917106979edebf5a,IAD,DEN,TRUE,498.6,DEN,IAD,United,1,12:15,1,16:00
897e6d885ea272a5d34b487334e4b45e,LAX,CLT,TRUE,408.6,CLT,LAX,American Airlines,2,05:00,2,09:45
7bc70edb64a5a065f292dd69916aa4ac,SFO,DFW,TRUE,318.6,DFW,SFO,American Airlines,6,01:15,6,04:45
9b4b3fa85e38ce4774bfb4d2fd1d128e,ATL,ORD,TRUE,328.6,ORD,ATL,United,3,21:30,3,23:45
b3cd306bc31b9b4de615a7501f365aa2,MIA,CLT,TRUE,308.6,CLT,MIA,American Airlines,5,21:30,5,23:45
8c41bc3690bdedb2bdf54696dfe253c1,LGA,DFW,TRUE,143.6,DFW,LGA,JetBlue Airways,5,11:45,5,15:30
ad97786965ea3a7d2aca123ca0437f19,DTW,LGA,TRUE,235.6,LGA,DTW,JetBlue Airways,7,22:30,1,00:30
224b6334173005871f8575b435b976b6,DTW,DFW,TRUE,188.6,DFW,DTW,American Airlines,4,23:45,5,02:45
b6beac1ab770c8ad55fab88e2dc14694,JFK,ATL,TRUE,258.6,ATL,JFK,Delta,3,01:30,3,04:15
e0d61f2ce7788854624526422b180b57,EWR,CLT,TRUE,179.6,CLT,EWR,JetBlue Airways,3,10:00,3,12:00
b6db19d028b434e5ab13650fcd01c599,DAL,ATL,TRUE,258.6,ATL,DAL,Delta,4,21:15,4,23:15
