legId,isNonStop,totalFare,segmentsDepartureAirportCode,segmentsArrivalAirportCode,segmentsAirlineName,segmentsDepartureWeekday,segmentsDepartureTimeOfDay,segmentsArrivalWeekday,segmentsArrivalTimeOfDay,startingAirport,destinationAirport
5f1e59af7d348371bbc7c7502e64f8be,true,303.6,ATL,ORD,Delta,6,17:45,6,19:45,ATL,ORD
1e003c327964004e5bb6333961958c73,true,275.59,OAK,EWR,Spirit Airlines,6,15:45,6,21:00,OAK,EWR
3a7fabdc9b8df56e0d06dac4f9d65bc2,true,303.6,DFW,CLT,American Airlines,3,11:45,3,14:15,DFW,CLT
302477381d989e5a2a0db66a75964269,true,306.6,MIA,DTW,Delta,2,22:45,3,01:45,MIA,DTW
460c40ce8108b861089a863eaa02b6cc,true,694.36,EWR,LAX,American Airlines,1,23:00,2,05:00,EWR,LAX
c75e76c8c479f3c9c409249930492b92,true,248.6,IAD,LAX,United,1,01:00,1,06:45,IAD,LAX
f002637694902d16fe994a0de77a71bd,true,695.1,LAX,EWR,American Airlines,3,18:00,3,23:45,LAX,EWR
9386cbab6b887da4a09e8b492c2ab07d,true,568.6,ATL,SFO,Delta,4,16:15,4,21:30,ATL,SFO
ef2c47885dc0251b74981f6591d32aeb,true,379.35,ATL,BOS,American Airlines,3,17:45,3,20:30,ATL,BOS
9ff4f19e54af224ae2f8cc17962a6b2b,true,218.6,LAX,BOS,JetBlue Airways,5,16:15,5,21:45,LAX,BOS
821498fce02c64fd0e14232200b47196,true,233.99,TTN,ATL,Frontier Airlines,7,22:15,1,00:30,TTN,ATL
d820e91be86c05ab50e31951430849a4,true,428.6,ATL,LAX,Delta,7,21:00,1,01:30,ATL,LAX
d41bc9292dfc5106bf27612f128f4724,true,194.6,MIA,ORD,American Airlines,7,01:30,7,05:00,MIA,ORD
e4c3bd01ee17644ff9fa0dde758998ee,true,129.35,DTW,BOS,American Airlines,2,12:15,2,14:00,DTW,BOS
5d5973cc25853190e6cc784e801d3e87,true,285.6,DFW,LAX,American Airlines,2,15:45,2,19:15,DFW,LAX
