legId,startingAirport,destinationAirport,isNonStop,totalFare,segmentsArrivalAirportCode,segmentsDepartureAirportCode,segmentsAirlineName,segmentsDepartureWeekday,segmentsDepartureTimeOfDay,segmentsArrivalWeekday,segmentsArrivalTimeOfDay
98685953630e772a098941b71906592b,ATL,BOS,true,248.6,BOS,ATL,Delta,7,10:30,7,13:00
98d90cbc32bfbb05c2fc32897c7c1087,ATL,BOS,true,248.6,BOS,ATL,Delta,7,15:30,7,18:00
969a269d38eae583f455486fa90877b4,ATL,BOS,true,248.6,BOS,ATL,Delta,7,18:00,7,20:30
980370cf27c89b40d2833a1d5afc9751,ATL,BOS,true,248.6,BOS,ATL,Delta,7,14:00,7,16:30
79eda9f841e226a1e2121d74211e595c,ATL,BOS,true,248.6,BOS,ATL,JetBlue Airways,7,14:45,7,17:30
9335fae376c38bb61263281779f469ec,ATL,BOS,false,251.1,CLT||BOS,ATL||CLT,American Airlines||American Airlines,7||7,12:15||14:30,7||7,13:45||16:30
3904bf87f2d1daf334f1ae7e3b876028,ATL,BOS,false,251.1,CLT||BOS,ATL||CLT,American Airlines||American Airlines,7||7,12:15||15:15,7||7,13:45||17:45
d93988734c44a3c075d9efe373352507,ATL,BOS,false,251.1,CLT||BOS,ATL||CLT,American Airlines||American Airlines,7||7,11:00||14:30,7||7,12:15||16:30
c38a6e4b807d15541e5866676febcbec,ATL,BOS,false,252.6,IAD||BOS,ATL||IAD,United||United,7||7,09:30||12:30,7||7,11:15||14:15
f66d72ba3a526576608b8402b5720726,ATL,BOS,false,252.6,ORD||BOS,ATL||ORD,American Airlines||American Airlines,7||7,18:45||22:00,7||1,21:00||00:30
